visitTimestampUTC,localTime,timezone,timeOffset,userAgent,platform,languages,cpuCores,deviceMemoryGB,cookieEnabled,doNotTrack,referrer,pageURL,screenResolution,availableScreen,colorDepth,pixelDepth,refreshRate,gpuVendor,gpuRenderer,gpuDriver,battery,timeOnPageSec,ip,city,region,country,latitude,longitude,org,localIPs,timestamp,browser,gpu,cpu,adblock,incognito,privateMode,vpnDetected,torDetected,totalTime,cpuBrand,vpn,tor,collectionTimeMs,language,javaEnabled,protocol,host,pathname,screenOrientation,pixelRatio,deviceMemory,batteryLevel,batteryCharging,batteryChargingTime,batteryDischargingTime,countryCode,isp,timezone_ip,allIPs,ipCount,hasLocalIPs,hasPublicIPs,adblockDetected,incognitoMode,vpnConfidence,torConfidence,torReasons,audioInputDevices,videoInputDevices,audioOutputDevices,mediaDevicesList,canvasFingerprint,webglFingerprint,audioFingerprint,connectionType,connectionDownlink,connectionRTT,pluginCount,plugins,performanceMemory,webgl,webgl2,webrtc,mediaDevicesAPI,geolocationAPI,notificationAPI,serviceWorker,webAssembly,sessionId,visitId
"2025-07-21T17:13:18.362Z","Mon Jul 21 2025 10:13:18 GMT-0700 (Pacific Daylight Time)","America/Los_Angeles","420","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","Win32","en-US,en","12","8","true","null","direct","file:///C:/Users/Rutuj%20Dhodapkar/OneDrive/Desktop/decrypt.html","1536x864","1536x816","24","24","unknown","Google Inc. (AMD)","ANGLE (AMD, AMD Radeon(TM) Graphics (0x00001638) Direct3D11 vs_5_0 ps_5_0, D3D11)","WebGL 1.0 (OpenGL ES 2.0 Chromium)","35%, charging: false","0.6","2401:4900:881c:bd4a:44ad:f855:deba:e43d","Nagpur","Maharashtra","India","21.1463","79.0849","Bharti Airtel Ltd., Telemedia Services","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","America/Los_Angeles","","","Win32","en-US,en","12","8","true","","","file:///C:/Users/Rutuj%20Dhodapkar/OneDrive/Desktop/decrypt.html","1536x864","1536x816","24","24","","","","","","2","2401:4900:881c:bd4a:44ad:f855:deba:e43d","Nagpur","Maharashtra","India","21.1463","79.0849","Bharti Airtel Ltd., Telemedia Services","","2025-07-21T17:16:07.620Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","ANGLE (AMD, AMD Radeon(TM) Graphics (0x00001638) Direct3D11 vs_5_0 ps_5_0, D3D11)","Apple Silicon","true","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","America/Los_Angeles","","","Win32","en-US,en","12","8","true","","","file:///D:/Portfolio/Profile-main/index.html","1536x864","1536x816","24","24","","","","","","2","2401:4900:881c:bd4a:44ad:f855:deba:e43d","Nagpur","Maharashtra","India","21.1463","79.0849","Bharti Airtel Ltd., Telemedia Services","","2025-07-21T17:16:55.535Z","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","ANGLE (AMD, AMD Radeon(TM) Graphics (0x00001638) Direct3D11 vs_5_0 ps_5_0, D3D11)","Apple Silicon","true","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-07-21T17:20:16.361Z","Mon Jul 21 2025 10:20:16 GMT-0700 (Pacific Daylight Time)","America/Los_Angeles","420","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","Win32","en-US,en","12","8","true","","","file:///C:/Users/Rutuj%20Dhodapkar/OneDrive/Desktop/decrypt.html","1536x864","1536x816","24","24","unknown","Google Inc. (AMD)","ANGLE (AMD, AMD Radeon(TM) Graphics (0x00001638) Direct3D11 vs_5_0 ps_5_0, D3D11)","WebGL 1.0 (OpenGL ES 2.0 Chromium)","31%, charging: false","2.0","2401:4900:881c:bd4a:44ad:f855:deba:e43d","Nagpur","Maharashtra","India","21.1463","79.0849","Bharti Airtel Ltd., Telemedia Services","","","","","Apple Silicon","true","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-07-21T17:20:41.803Z","Mon Jul 21 2025 10:20:41 GMT-0700 (Pacific Daylight Time)","America/Los_Angeles","420","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","Win32","en-US,en","12","8","true","","","file:///C:/Users/Rutuj%20Dhodapkar/OneDrive/Desktop/decrypt.html","1536x864","1536x816","24","24","unknown","Google Inc. (AMD)","ANGLE (AMD, AMD Radeon(TM) Graphics (0x00001638) Direct3D11 vs_5_0 ps_5_0, D3D11)","WebGL 1.0 (OpenGL ES 2.0 Chromium)","31%, charging: false","2.7","2401:4900:881c:bd4a:44ad:f855:deba:e43d","Nagpur","Maharashtra","India","21.1463","79.0849","Bharti Airtel Ltd., Telemedia Services","","","","","Apple Silicon","true","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Mon Jul 21 2025 10:24:53 GMT-0700 (Pacific Daylight Time)","America/Los_Angeles","420","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","Win32","en-US,en","12","8","true","","direct","file:///C:/Users/Rutuj%20Dhodapkar/OneDrive/Desktop/decrypt.html","1536x864","1536x816","24","24","","","","","30%, charging: false","0.6","2401:4900:881c:bd4a:44ad:f855:deba:e43d","Nagpur","Maharashtra","India","21.1463","79.0849","Bharti Airtel Ltd., Telemedia Services","","2025-07-21T17:24:53.910Z","","[object Object]","Apple Silicon","true","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-07-21T17:26:08.342Z","Mon Jul 21 2025 10:26:08 GMT-0700 (Pacific Daylight Time)","America/Los_Angeles","420","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","Win32","en-US,en","12","8","true","","direct","file:///C:/Users/Rutuj%20Dhodapkar/OneDrive/Desktop/decrypt.html","1536x864","1536x816","24","24","unknown","Google Inc. (AMD)","ANGLE (AMD, AMD Radeon(TM) Graphics (0x00001638) Direct3D11 vs_5_0 ps_5_0, D3D11)","WebGL 1.0 (OpenGL ES 2.0 Chromium)","29%, charging: false","4.4","2401:4900:881c:bd4a:44ad:f855:deba:e43d","Nagpur","Maharashtra","India","21.1463","79.0849","Bharti Airtel Ltd., Telemedia Services","","","","","","true","","true","","","","Apple Silicon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-07-22T05:29:22.356Z","Mon Jul 21 2025 22:29:22 GMT-0700 (Pacific Daylight Time)","America/Los_Angeles","420","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","Win32","en-US,en","12","","true","not_specified","direct","file:///C:/Users/Rutuj%20Dhodapkar/OneDrive/Desktop/Profile-main/index.html","1536x864","1536x816","24","24","unknown","Google Inc. (AMD)","ANGLE (AMD, AMD Radeon(TM) Graphics (0x00001638) Direct3D11 vs_5_0 ps_5_0, D3D11)","WebGL 1.0 (OpenGL ES 2.0 Chromium)","","3.3","2401:4900:881c:bd4a:2555:11f1:f948:f3a2","Nagpur","Maharashtra","IN","21.1463","79.0849","Bharti Airtel Ltd., Telemedia Services","","","","","Apple Silicon","","","true","","","","","","","2419","en-US","","file:","","/C:/Users/Rutuj%20Dhodapkar/OneDrive/Desktop/Profile-main/index.html","landscape-primary","1.25","8GB","90","true","Infinity","Infinity","IN","unknown","Asia/Kolkata","e:3476310294;e:2583899595;e:3583910406;223.185.42.122;e:4049113948;e:2857121921;e:2551106102;e:2833361254;e:3673380245;e:2817431980;e:4074372465;e:2575451110;e:3175412412;e:3980760906;e:3741804029;e:2650471006;e:4024960685;e:577998666;e:271678973;e:1389159006;e:551427757;e:2438478297;e:2736442222;e:2482350142","24","","true","","","low","low","","1","1","1","audioinput:unnamed;videoinput:unnamed;audiooutput:unnamed","2814fa09","1b4c24c2","timeout","4g","1.7","200","5","PDF Viewer;Chrome PDF Viewer;Chromium PDF Viewer;Microsoft Edge PDF Viewer;WebKit built-in PDF","[object Object]","true","true","true","true","true","true","true","true","ns84vh6h7","1753162162399_go7mw"
"2025-07-22T05:34:45.244Z","Mon Jul 21 2025 22:34:45 GMT-0700 (Pacific Daylight Time)","America/Los_Angeles","420","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","Win32","en-US,en","12","8","true","not_specified","direct","file:///C:/Users/Rutuj%20Dhodapkar/OneDrive/Desktop/Profile-main/index.html","1536x864","1536x816","24","24","unknown","Google Inc. (AMD)","ANGLE (AMD, AMD Radeon(TM) Graphics (0x00001638) Direct3D11 vs_5_0 ps_5_0, D3D11)","WebGL 1.0 (OpenGL ES 2.0 Chromium)","{""level"":92,""charging"":true,""chargingTime"":null,""dischargingTime"":null}","4.9","2401:4900:881c:bd4a:2555:11f1:f948:f3a2","Nagpur","Maharashtra","IN","21.1463","79.0849","Bharti Airtel Ltd., Telemedia Services","","1753162485277","Not)A;Brand 8;Chromium 138;Microsoft Edge 138","{""vendor"":""Google Inc. (AMD)"",""renderer"":""ANGLE (AMD, AMD Radeon(TM) Graphics (0x00001638) Direct3D11 vs_5_0 ps_5_0, D3D11)"",""driver"":""WebGL 1.0 (OpenGL ES 2.0 Chromium)""}","Apple Silicon","","","true","","","4.8","unknown","no","no","2706","en-US","","file:","","/C:/Users/Rutuj%20Dhodapkar/OneDrive/Desktop/Profile-main/index.html","landscape-primary","1.25","8GB","92","true","Infinity","Infinity","IN","unknown","Asia/Kolkata","e:1902701256;e:610242069;223.185.42.122;e:1325674626;e:1807909336;e:1072216203;e:229263932;e:1027942764;e:1331156383;e:3023115279;e:2255742648;e:3063711208;e:3297671451;e:2952457748;e:2646088867;e:3745874688;e:2908192755;e:2416381002;e:2722496253;e:2460655021;e:3770179934;e:1548983973;e:1846635538;e:1593708354","24","","true","","","low","low","","1","1","1","audioinput:unnamed;videoinput:unnamed;audiooutput:unnamed","2814fa09","1b4c24c2","timeout","4g","1.7","200","5","PDF Viewer;Chrome PDF Viewer;Chromium PDF Viewer;Microsoft Edge PDF Viewer;WebKit built-in PDF","[object Object]","true","true","true","true","true","true","true","true","xll88yw16","1753162485277_964up"
"2025-07-22T05:47:55.972Z","Mon Jul 21 2025 22:47:55 GMT-0700 (Pacific Daylight Time)","America/Los_Angeles","420","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 Edg/138.0.0.0","Win32","en-US","12","8","true","1","direct","https://rutujdhodapkar.vercel.app/","1536x864","1536x816","24","24","unknown","Google Inc. (AMD)","ANGLE (AMD, AMD Radeon(TM) Graphics (0x00001638) Direct3D11 vs_5_0 ps_5_0, D3D11)","WebGL 1.0 (OpenGL ES 2.0 Chromium)","{""level"":95,""charging"":true,""chargingTime"":null,""dischargingTime"":null}","3.1","2401:4900:881c:bd4a:2555:11f1:f948:f3a2","Nagpur","Maharashtra","IN","21.1463","79.0849","Bharti Airtel Ltd., Telemedia Services","","1753163275995","Not)A;Brand 8;Chromium 138;Microsoft Edge 138","{""vendor"":""Google Inc. (AMD)"",""renderer"":""ANGLE (AMD, AMD Radeon(TM) Graphics (0x00001638) Direct3D11 vs_5_0 ps_5_0, D3D11)"",""driver"":""WebGL 1.0 (OpenGL ES 2.0 Chromium)""}","Apple Silicon","","","","","","3.1","unknown","no","no","2522","en-US","","https:","rutujdhodapkar.vercel.app","/","landscape-primary","1.25","8GB","95","true","Infinity","Infinity","IN","unknown","Asia/Kolkata","e:636752309;e:1891857768;223.185.42.122;e:462998527;e:1063156389;e:3183100147;e:2415440452;e:3439668711;e:3206009108;e:3202696500;e:612045080;e:1803345457;e:2129111287;e:21318169;e:2614828597;e:3242698714;e:3571241244;e:837645258;e:2876450790;e:4059012617;e:3832867023;e:4020701014;e:3722835425;e:3976894129","24","","true","","","low","low","","1","1","1","audioinput:unnamed;videoinput:unnamed;audiooutput:unnamed","2814fa09","1b4c24c2","timeout","4g","7.55","250","5","PDF Viewer;Chrome PDF Viewer;Chromium PDF Viewer;Microsoft Edge PDF Viewer;WebKit built-in PDF","[object Object]","true","true","true","true","true","true","true","true","92tncs1os","1753163275995_a4xhg"
